Kategorija: Visos kategorijos

Šalis,"""knowledge management"": (2007-01-01–2021-12-22)","""knowledge management system"": (2007-01-01–2021-12-22)","""knowledge management software"": (2007-01-01–2021-12-22)"
Sent Kitsas ir Nevis,,,
Sen Martenas,,,
Monakas,,,
Maršalo Salos,,,
Juodkalnija,,,
Marianos Šiaurinės Salos,,,
Mauritanija,,,
Montseratas,,,
Martinika,,,
Majotas,,,
Norfolko sala,,,
Niujė,,,
Nauru,,,
Pitkerno salos,,,
Palau,,,
Šiaurės Korėja,,,
Pietų Džordžija ir Pietų Sandvičo salos,,,
Svalbardas ir Janas Majenas,,,
Saliamono Salos,,,
San Marinas,,,
Sen Pjeras ir Mikelonas,,,
Sint Martenas,,,
Terkso ir Kaikoso Salos,,,
Tokelau,,,
Tonga,,,
Tuvalu,,,
Jungtinių Valstijų Mažosios Tolimosios Salos,,,
Vatikano Miesto Valstybė,,,
Vanuatu,,,
Volisas ir Futūna,,,
