Kategorija: Visos kategorijos

Šalis,"""knowledge management"": (2016-12-22–2021-12-22)","""knowledge management system"": (2016-12-22–2021-12-22)","""knowledge management software"": (2016-12-22–2021-12-22)"
Nigeris,,,
Norfolko sala,,,
Nikaragva,,,
Niujė,,,
Nauru,,,
Pitkerno salos,,,
Palau,,,
Šiaurės Korėja,,,
Paragvajus,,,
Pietų Džordžija ir Pietų Sandvičo salos,,,
Svalbardas ir Janas Majenas,,,
San Marinas,,,
Sen Pjeras ir Mikelonas,,,
San Tomė ir Prinsipė,,,
Sint Martenas,,,
Seišeliai,,,
Terkso ir Kaikoso Salos,,,
Tadžikija,,,
Tokelau,,,
Turkmėnistanas,,,
Tonga,,,
Tuvalu,,,
Jungtinių Valstijų Mažosios Tolimosios Salos,,,
Vatikano Miesto Valstybė,,,
Šventasis Vincentas ir Grenadinai,,,
Didžiosios Britanijos Mergelių Salos,,,
Volisas ir Futūna,,,
Samoa,,,
