Kategorija: Visos kategorijos

Šalis,"""knowledge management"": (2007-01-01–2021-12-22)","""knowledge management system"": (2007-01-01–2021-12-22)","""knowledge management software"": (2007-01-01–2021-12-22)"
Marianos Šiaurinės Salos,,,
Montseratas,,,
Martinika,,,
Majotas,,,
Nigeris,,,
Norfolko sala,,,
Niujė,,,
Nauru,,,
Pitkerno salos,,,
Palau,,,
Šiaurės Korėja,,,
Prancūzijos Polinezija,,,
Pietų Džordžija ir Pietų Sandvičo salos,,,
Svalbardas ir Janas Majenas,,,
Saliamono Salos,,,
San Marinas,,,
Sen Pjeras ir Mikelonas,,,
San Tomė ir Prinsipė,,,
Surinamas,,,
Sint Martenas,,,
Terkso ir Kaikoso Salos,,,
Čadas,,,
Tokelau,,,
Tonga,,,
Tuvalu,,,
Jungtinių Valstijų Mažosios Tolimosios Salos,,,
Vatikano Miesto Valstybė,,,
Didžiosios Britanijos Mergelių Salos,,,
Volisas ir Futūna,,,
